,questions,correct answers
0,"For normal weight people and without diabetes, the probability of long lifespan is 32%. For normal weight people and with diabetes, the probability of long lifespan is 60%. For obese people and without diabetes, the probability of long lifespan is 62%. For obese people and with diabetes, the probability of long lifespan is 81%. For normal weight people and nonsmokers, the probability of having diabetes is 57%. For normal weight people and smokers, the probability of having diabetes is 68%. For obese people and nonsmokers, the probability of having diabetes is 31%. For obese people and smokers, the probability of having diabetes is 19%. The overall probability of smoker is 88%. If we disregard the mediation effect through diabetes, would obesity positively affect lifespan?",yes
1,"For nonsmokers, the probability of lung cancer is 26%. For smokers, the probability of lung cancer is 49%. Does smoking positively affect lung cancer through tar deposit?",yes
2,"For individuals who are not male, the probability of admission acceptance is 78%. For individuals who are male, the probability of admission acceptance is 67%. Will male gender increase the chance of admission acceptance?",no
3,"For nonsmokers and with no tar deposit, the probability of lung cancer is 41%. For nonsmokers and with high tar deposit, the probability of lung cancer is 67%. For smokers and with no tar deposit, the probability of lung cancer is 40%. For smokers and with high tar deposit, the probability of lung cancer is 68%. For nonsmokers, the probability of high tar deposit is 34%. For smokers, the probability of high tar deposit is 83%. For smokers, would it be less likely to see lung cancer if the person had been a nonsmoker?",yes
4,"For nonsmokers and with no tar deposit, the probability of lung cancer is 85%. For nonsmokers and with high tar deposit, the probability of lung cancer is 59%. For smokers and with no tar deposit, the probability of lung cancer is 84%. For smokers and with high tar deposit, the probability of lung cancer is 58%. For nonsmokers, the probability of high tar deposit is 74%. For smokers, the probability of high tar deposit is 29%. For smokers, would it be less likely to see lung cancer if the person had been a nonsmoker?",yes
5,"For nonsmokers, the probability of college admission is 53%. For smokers, the probability of college admission is 27%. Will smoking decrease the chance of college admission?",yes
6,The overall probability of male gender is 83%. The probability of non-male gender and admission acceptance is 11%. The probability of male gender and admission acceptance is 32%. Is the chance of admission acceptance smaller when observing male gender?,yes
7,"Method 1: We look at how treatment correlates with recovery case by case according to gender. Method 2: We look directly at how treatment correlates with recovery in general. To understand how treatment affects recovery, is it more correct to use the Method 1 than Method 2?",yes
8,"For children with unintelligent parents and with low parental social status, the probability of intelligent child is 89%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 86%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 45%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 47%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 92%. For children with unintelligent parents and confounder active, the probability of high parental social status is 70%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 55%. For children with intelligent parents and confounder active, the probability of high parental social status is 24%. The overall probability of confounder active is 49%. If we disregard the mediation effect through parents' social status, would parents' intelligence negatively affect child's intelligence?",yes
9,"For patients not consuming citrus, the probability of scurvy is 27%. For patients consuming citrus, the probability of scurvy is 16%. Does eating citrus negatively affect scurvy through vitmain C?",yes
10,"For individuals who are not male and applicants to a non-competitive department, the probability of admission acceptance is 17%. For individuals who are not male and applicants to a competitive department, the probability of admission acceptance is 70%. For individuals who are male and applicants to a non-competitive department, the probability of admission acceptance is 8%. For individuals who are male and applicants to a competitive department, the probability of admission acceptance is 51%. For individuals who are not male, the probability of competitive department is 75%. For individuals who are male, the probability of competitive department is 14%. If we disregard the mediation effect through department competitiveness, would gender positively affect admission status?",no
11,"For husbands that don't set the alarm and wives that don't set the alarm, the probability of ringing alarm is 8%. For husbands that don't set the alarm and wives that set the alarm, the probability of ringing alarm is 54%. For husbands that set the alarm and wives that don't set the alarm, the probability of ringing alarm is 41%. For husbands that set the alarm and wives that set the alarm, the probability of ringing alarm is 86%. For husbands that don't set the alarm, the probability of alarm set by wife is 74%. For husbands that set the alarm, the probability of alarm set by wife is 24%. Does husband negatively affect alarm clock through wife?",yes
12,"For captains who release prisoners, the probability of the prisoner's death is 21%. For captains who execute prisoners, the probability of the prisoner's death is 65%. For captains who execute prisoners, would it be less likely to see the prisoner's death if the captain had ordered the release of the prisoner?",yes
13,The overall probability of the captain's order to execute the prisoner is 18%. The probability of the captain's order to release the prisoner and the prisoner's death is 27%. The probability of the captain's order to execute the prisoner and the prisoner's death is 15%. Is the chance of the prisoner's death smaller when observing the captain's order to execute the prisoner?,no
14,"For people living far from a college, the probability of high salary is 41%. For people living close to a college, the probability of high salary is 59%. For people living far from a college, the probability of college degree or higher is 49%. For people living close to a college, the probability of college degree or higher is 9%. Will college degree or higher increase the chance of high salary?",no
15,We know that confounder active or assignment of drug treatment causes taking of all assigned drugs. confounder active and taking of all assigned drugs causes low cholesterol. We observed the patient is not assigned the drug treatment and confounder inactive. Would the patient has low cholesterol if taking of all assigned drugs instead of not taking of any assigned drugs?,no
16,"Method 1: We look at how drug taken correlates with cholesterol level case by case according to unobserved confounders. Method 2: We look directly at how drug taken correlates with cholesterol level in general. To understand how drug taken affects cholesterol level, is it more correct to use the Method 1 than Method 2?",yes
17,"For people living far from a college, the probability of high salary is 47%. For people living close to a college, the probability of high salary is 62%. For people living far from a college, the probability of college degree or higher is 31%. For people living close to a college, the probability of college degree or higher is 68%. Will college degree or higher decrease the chance of high salary?",no
18,The overall probability of taking the elevator is 10%. The probability of taking the stairs and penguin death is 66%. The probability of taking the elevator and penguin death is 2%. Is the chance of penguin death larger when observing taking the elevator?,no
19,"The overall probability of obesity is 91%. For normal weight people, the probability of long lifespan is 44%. For obese people, the probability of long lifespan is 60%. Is long lifespan more likely than short lifespan overall?",yes
20,"The overall probability of receives treatment is 50%. For patients not receiving treatment, the probability of recovery is 39%. For patients receiving treatment, the probability of recovery is 60%. Is recovery more likely than non-recovery overall?",no
21,"The overall probability of male gender is 83%. For individuals who are not male, the probability of high salary is 19%. For individuals who are male, the probability of high salary is 40%. Is high salary less likely than low salary overall?",yes
22,The overall probability of intelligent parents is 17%. The probability of unintelligent parents and intelligent child is 73%. The probability of intelligent parents and intelligent child is 8%. Is the chance of intelligent child larger when observing intelligent parents?,no
23,We know that the captain's order to execute the prisoner causes the corporal shooting and the private not shooting. the corporal shooting or the private shooting causes the prisoner's death. Would the prisoner is dead if the captain's order to release the prisoner instead of the captain's order to execute the prisoner?,yes
24,"For those who choose to take the stairs and penguins who are sad, the probability of penguin death is 76%. For those who choose to take the stairs and penguins who are happy, the probability of penguin death is 44%. For those who choose to take the elevator and penguins who are sad, the probability of penguin death is 26%. For those who choose to take the elevator and penguins who are happy, the probability of penguin death is 1%. For those who choose to take the stairs, the probability of penguin happiness is 55%. For those who choose to take the elevator, the probability of penguin happiness is 92%. Does my decision positively affect penguin survival through penguin mood?",no
25,The overall probability of smoking gene is 3%. The probability of nonsmoking gene and lung cancer is 50%. The probability of smoking gene and lung cancer is 2%. Is the chance of lung cancer smaller when observing smoking gene?,no
26,"For people with no pre-conditions and refusing the vaccine, the probability of recovering from the disease is 7%. For people with no pre-conditions and getting the vaccine, the probability of recovering from the disease is 37%. For people with pre-conditions and refusing the vaccine, the probability of recovering from the disease is 65%. For people with pre-conditions and getting the vaccine, the probability of recovering from the disease is 96%. The overall probability of pre-conditions is 41%. For people getting the vaccine, would it be less likely to see recovering from the disease if the person had not refused the vaccine?",yes
27,"For unvaccinated individuals, the probability of smallpox survival is 42%. For vaccinated individuals, the probability of smallpox survival is 33%. Does vaccination status positively affect smallpox survival through getting smallpox and vaccination reaction?",no
28,We know that high poverty and global water company causes clean water. high poverty and clean water causes cholera contraction. We observed the person is served by a local water company and the region has high poverty. Would the person avoids cholera if clean water instead of polluted water?,no
29,"For individuals who are not male and blue-collar workers, the probability of high salary is 31%. For individuals who are not male and white-collar workers, the probability of high salary is 62%. For individuals who are male and blue-collar workers, the probability of high salary is 25%. For individuals who are male and white-collar workers, the probability of high salary is 60%. For individuals who are not male and with low skill levels, the probability of white-collar job is 28%. For individuals who are not male and with high skill levels, the probability of white-collar job is 50%. For individuals who are male and with low skill levels, the probability of white-collar job is 50%. For individuals who are male and with high skill levels, the probability of white-collar job is 80%. The overall probability of high skill level is 11%. If we disregard the mediation effect through occupation, would gender positively affect salary?",no
30,"The overall probability of encouragement is 42%. For students who are not encouraged, the probability of high exam score is 32%. For students who are encouraged, the probability of high exam score is 76%. Is high exam score more likely than low exam score overall?",yes
31,"For those who choose to take the stairs and penguins who are sad, the probability of penguin death is 29%. For those who choose to take the stairs and penguins who are happy, the probability of penguin death is 73%. For those who choose to take the elevator and penguins who are sad, the probability of penguin death is 45%. For those who choose to take the elevator and penguins who are happy, the probability of penguin death is 86%. For those who choose to take the stairs, the probability of penguin happiness is 65%. For those who choose to take the elevator, the probability of penguin happiness is 33%. If we disregard the mediation effect through penguin mood, would my decision positively affect penguin survival?",yes
32,The overall probability of smoking mother is 30%. The probability of nonsmoking mother and normal infant birth weight is 19%. The probability of smoking mother and normal infant birth weight is 17%. Is the chance of normal infant birth weight larger when observing smoking mother?,yes
33,The overall probability of manager signing the termination letter is 19%. The probability of manager not signing the termination letter and employee being fired is 21%. The probability of manager signing the termination letter and employee being fired is 12%. Is the chance of employee being fired smaller when observing manager signing the termination letter?,no
34,"For hospitalized individuals, the correlation between respiratory issues and broken bones is -0.04. If we look at hospitalized individuals, does it mean that respiratory issues affects broken bones?",no
35,We know that male gender or in-state residency causes competitive department. male gender or in-state residency or competitive department causes admission acceptance. We observed the resident is in-state. Would the applicant gets admitted if non-male gender instead of male gender?,yes
36,"For people living far from a college, the probability of high salary is 53%. For people living close to a college, the probability of high salary is 64%. For people living far from a college, the probability of college degree or higher is 80%. For people living close to a college, the probability of college degree or higher is 50%. Will college degree or higher increase the chance of high salary?",no
37,"For people not taking any medication, the probability of healthy heart is 45%. For people taking medication, the probability of healthy heart is 28%. For people taking medication, would it be more likely to see healthy heart if the person had taken no medication?",yes
38,"For people not taking any medication and with low blood pressure, the probability of healthy heart is 48%. For people not taking any medication and with high blood pressure, the probability of healthy heart is 77%. For people taking medication and with low blood pressure, the probability of healthy heart is 20%. For people taking medication and with high blood pressure, the probability of healthy heart is 46%. For people not taking any medication, the probability of high blood pressure is 37%. For people taking medication, the probability of high blood pressure is 60%. Does medication positively affect heart condition through blood pressure?",yes
39,"For captains who release prisoners, the probability of the prisoner's death is 32%. For captains who execute prisoners, the probability of the prisoner's death is 75%. For captains who execute prisoners, would it be less likely to see the prisoner's death if the captain had ordered the release of the prisoner?",yes
40,The overall probability of smoking mother is 34%. The probability of nonsmoking mother and normal infant birth weight is 8%. The probability of smoking mother and normal infant birth weight is 17%. Is the chance of normal infant birth weight larger when observing smoking mother?,yes
41,We know that old age causes low hospital bill. old age and high hospital bill causes recovery. We observed the patient is old. Would the patient doesn't recover if low hospital bill instead of high hospital bill?,yes
42,"For students accepted to elite institutions, the correlation between talent and being hard-working is -0.16. If we look at students accepted to elite institutions, does it mean that talent affects being hard-working?",no
43,"Method 1: We look directly at how personality correlates with appearance in general. Method 2: We look at this correlation case by case according to relationship status. To understand how personality affects appearance, is it more correct to use the Method 1 than Method 2?",yes
44,The overall probability of waking up late is 5%. The probability of waking up on time and arriving to school on time is 44%. The probability of waking up late and arriving to school on time is 4%. Is the chance of arriving to school on time larger when observing waking up late?,yes
45,"The overall probability of manager signing the termination letter is 28%. For managers who don't sign termination letters, the probability of employee being fired is 92%. For managers who sign termination letters, the probability of employee being fired is 49%. Is employee being fired less likely than employee not being fired overall?",no
46,"Method 1: We look directly at how medication correlates with heart condition in general. Method 2: We look at this correlation case by case according to blood pressure. To understand how medication affects heart condition, is it more correct to use the Method 1 than Method 2?",yes
47,The overall probability of receives treatment is 69%. The probability of receives no treatment and recovery is 8%. The probability of receives treatment and recovery is 48%. Is the chance of recovery larger when observing receives treatment?,yes
48,We know that confounder active and close to a college causes college degree or higher. confounder active or college degree or higher causes high salary. We observed the person lives close to a college and confounder inactive. Would the employee has a low salary if college degree or higher instead of high school degree or lower?,no
49,"Method 1: We look directly at how husband correlates with alarm clock in general. Method 2: We look at this correlation case by case according to wife. To understand how husband affects alarm clock, is it more correct to use the Method 1 than Method 2?",yes
50,"Method 1: We look directly at how appearance correlates with talent in general. Method 2: We look at this correlation case by case according to fame. To understand how appearance affects talent, is it more correct to use the Method 1 than Method 2?",yes
51,"Method 1: We look at how education level correlates with salary case by case according to skill. Method 2: We look directly at how education level correlates with salary in general. To understand how education level affects salary, is it more correct to use the Method 1 than Method 2?",no
52,The overall probability of receives treatment is 55%. The probability of receives no treatment and recovery is 28%. The probability of receives treatment and recovery is 20%. Is the chance of recovery larger when observing receives treatment?,no
53,"The overall probability of increased supply is 59%. For situations with reduced supply, the probability of increased price is 38%. For situations with increased supply, the probability of increased price is 72%. Is increased price more likely than reduced price overall?",yes
54,The overall probability of taking medication is 91%. The probability of not taking medication and healthy heart is 3%. The probability of taking medication and healthy heart is 23%. Is the chance of healthy heart larger when observing taking medication?,no
55,"The overall probability of waking up late is 9%. For days when Alice wakes up on time, the probability of arriving to school on time is 37%. For days when Alice wakes up late, the probability of arriving to school on time is 71%. Is arriving to school on time more likely than arriving to school late overall?",no
56,"For patients not consuming citrus, the probability of scurvy is 82%. For patients consuming citrus, the probability of scurvy is 65%. Does eating citrus negatively affect scurvy through vitmain C?",yes
57,The overall probability of male gender is 13%. The probability of non-male gender and high salary is 41%. The probability of male gender and high salary is 5%. Is the chance of high salary larger when observing male gender?,no
58,"For those who choose to take the stairs, the probability of penguin death is 53%. For those who choose to take the elevator, the probability of penguin death is 53%. Will taking the elevator decrease the chance of penguin death?",no
59,"The overall probability of kindness is 95%. For people with mean personalities, the probability of attractive appearance is 11%. For people with kind personalities, the probability of attractive appearance is 11%. Is attractive appearance more likely than unattractive appearance overall?",no
60,"Method 1: We look directly at how education level correlates with salary in general. Method 2: We look at this correlation case by case according to unobserved confounders. To understand how education level affects salary, is it more correct to use the Method 1 than Method 2?",no
61,"Method 1: We look directly at how gender correlates with admission status in general. Method 2: We look at this correlation case by case according to department competitiveness. To understand how gender affects admission status, is it more correct to use the Method 1 than Method 2?",yes
62,"For normal weight people, the probability of long lifespan is 85%. For obese people, the probability of long lifespan is 64%. For obese people, would it be less likely to see long lifespan if the person had been normal weight?",no
63,"For farms with reduced crop yield per acre, the probability of increased price is 40%. For farms with increased crop yield per acre, the probability of increased price is 26%. For farms with reduced crop yield per acre, the probability of increased supply is 38%. For farms with increased crop yield per acre, the probability of increased supply is 72%. Will increased supply increase the chance of increased price?",no
64,"For individuals who are not male and applicants to a non-competitive department, the probability of admission acceptance is 66%. For individuals who are not male and applicants to a competitive department, the probability of admission acceptance is 91%. For individuals who are male and applicants to a non-competitive department, the probability of admission acceptance is 42%. For individuals who are male and applicants to a competitive department, the probability of admission acceptance is 61%. For individuals who are not male and out-of-state residents, the probability of competitive department is 59%. For individuals who are not male and in-state residents, the probability of competitive department is 89%. For individuals who are male and out-of-state residents, the probability of competitive department is 30%. For individuals who are male and in-state residents, the probability of competitive department is 67%. The overall probability of in-state residency is 14%. If we disregard the mediation effect through department competitiveness, would gender negatively affect admission status?",yes
65,We know that the camper lighting a match or the chain-smoker lighting a match causes the forest on fire. We observed the chain-smoker lights a match. Would the forest burns down if the camper not lighting a match instead of the camper lighting a match?,yes
66,The overall probability of waking up late is 63%. The probability of waking up on time and arriving to school on time is 32%. The probability of waking up late and arriving to school on time is 31%. Is the chance of arriving to school on time smaller when observing waking up late?,yes
67,"For patients who have small kidney stones and not receiving treatment, the probability of recovery is 95%. For patients who have small kidney stones and receiving treatment, the probability of recovery is 83%. For patients who have large kidney stones and not receiving treatment, the probability of recovery is 20%. For patients who have large kidney stones and receiving treatment, the probability of recovery is 9%. The overall probability of large kidney stone is 41%. Will receives treatment increase the chance of recovery?",no
68,"For infants with nonsmoking mothers and low infant birth weight, the probability of high infant mortality is 85%. For infants with nonsmoking mothers and normal infant birth weight, the probability of high infant mortality is 50%. For infants with smoking mothers and low infant birth weight, the probability of high infant mortality is 81%. For infants with smoking mothers and normal infant birth weight, the probability of high infant mortality is 56%. For infants with nonsmoking mothers and with poor health, the probability of normal infant birth weight is 39%. For infants with nonsmoking mothers and with good health, the probability of normal infant birth weight is 65%. For infants with smoking mothers and with poor health, the probability of normal infant birth weight is 1%. For infants with smoking mothers and with good health, the probability of normal infant birth weight is 31%. The overall probability of good health is 95%. Does maternal smoking status positively affect infant mortality through infant's birth weight?",yes
69,"Method 1: We look at how hospital costs correlates with recovery case by case according to age. Method 2: We look directly at how hospital costs correlates with recovery in general. To understand how hospital costs affects recovery, is it more correct to use the Method 1 than Method 2?",yes
70,The overall probability of clean water is 65%. The probability of polluted water and cholera contraction is 24%. The probability of clean water and cholera contraction is 23%. Is the chance of cholera contraction smaller when observing clean water?,yes
71,"For people in the dry season, the probability of wet ground is 41%. For in the rainy season, the probability of wet ground is 38%. For in the rainy season, would it be more likely to see wet ground if the season had been dry?",yes
72,"For patients not consuming citrus, the probability of scurvy is 54%. For patients consuming citrus, the probability of scurvy is 24%. Will citrus intake increase the chance of scurvy?",no
73,"For children with unintelligent parents and with low parental social status, the probability of intelligent child is 39%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 35%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 65%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 68%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 39%. For children with unintelligent parents and confounder active, the probability of high parental social status is 48%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 79%. For children with intelligent parents and confounder active, the probability of high parental social status is 82%. The overall probability of confounder active is 47%. Does parents' intelligence negatively affect child's intelligence through parents' social status?",yes
74,"For people with no pre-conditions and refusing the vaccine, the probability of recovering from the disease is 96%. For people with no pre-conditions and getting the vaccine, the probability of recovering from the disease is 76%. For people with pre-conditions and refusing the vaccine, the probability of recovering from the disease is 25%. For people with pre-conditions and getting the vaccine, the probability of recovering from the disease is 4%. The overall probability of pre-conditions is 54%. Will getting the vaccine increase the chance of recovering from the disease?",no
75,We know that confounder active and high cigarette tax causes smoking mother. confounder active or smoking mother causes normal infant birth weight. We observed the cigarette tax is low and confounder active. Would the infant is born with a normal weight if smoking mother instead of nonsmoking mother?,yes
76,The overall probability of vaccination is 97%. The probability of lack of vaccination and smallpox survival is 1%. The probability of vaccination and smallpox survival is 52%. Is the chance of smallpox survival smaller when observing vaccination?,no
77,The overall probability of waking up late is 2%. The probability of waking up on time and arriving to school on time is 43%. The probability of waking up late and arriving to school on time is 1%. Is the chance of arriving to school on time larger when observing waking up late?,yes
78,"For individuals who are not male and blue-collar workers, the probability of high salary is 31%. For individuals who are not male and white-collar workers, the probability of high salary is 62%. For individuals who are male and blue-collar workers, the probability of high salary is 25%. For individuals who are male and white-collar workers, the probability of high salary is 60%. For individuals who are not male and with low skill levels, the probability of white-collar job is 28%. For individuals who are not male and with high skill levels, the probability of white-collar job is 50%. For individuals who are male and with low skill levels, the probability of white-collar job is 50%. For individuals who are male and with high skill levels, the probability of white-collar job is 80%. The overall probability of high skill level is 11%. Does gender positively affect salary through occupation?",yes
79,"For people not taking any medication, the probability of healthy heart is 68%. For people taking medication, the probability of healthy heart is 40%. Will taking medication decrease the chance of healthy heart?",yes
80,"Method 1: We look directly at how water quality correlates with cholera in general. Method 2: We look at this correlation case by case according to poverty. To understand how water quality affects cholera, is it more correct to use the Method 1 than Method 2?",no
81,"For people not using tanning salon treatments, the probability of tanned skin is 74%. For people who went to tanning salons, the probability of tanned skin is 30%. Will tanning salon treatment decrease the chance of tanned skin?",yes
82,"For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 71%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 31%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 85%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 47%. The overall probability of CEO's decision to fire the employee is 91%. Will manager signing the termination letter increase the chance of employee being fired?",no
83,"The overall probability of alarm set by husband is 81%. For husbands that don't set the alarm, the probability of ringing alarm is 21%. For husbands that set the alarm, the probability of ringing alarm is 86%. Is ringing alarm more likely than silent alarm overall?",yes
84,"Method 1: We look directly at how obesity correlates with lifespan in general. Method 2: We look at this correlation case by case according to diabetes. To understand how obesity affects lifespan, is it more correct to use the Method 1 than Method 2?",yes
85,The overall probability of encouragement is 10%. The probability of discouragement and high exam score is 28%. The probability of encouragement and high exam score is 7%. Is the chance of high exam score smaller when observing encouragement?,no
86,We know that male gender causes receives no treatment. male gender and receives treatment causes recovery. We observed the patient is male. Would the patient doesn't recover if receives no treatment instead of receives treatment?,yes
87,"The overall probability of taking of all assigned drugs is 29%. For patients that have not taken any drugs, the probability of low cholesterol is 67%. For patients that have taken all assigned drugs, the probability of low cholesterol is 49%. Is low cholesterol more likely than high cholesterol overall?",yes
88,"For children with unintelligent parents and with low parental social status, the probability of intelligent child is 45%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 32%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 75%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 74%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 66%. For children with unintelligent parents and confounder active, the probability of high parental social status is 83%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 34%. For children with intelligent parents and confounder active, the probability of high parental social status is 44%. The overall probability of confounder active is 58%. If we disregard the mediation effect through parents' social status, would parents' intelligence positively affect child's intelligence?",yes
89,"For unvaccinated individuals, the probability of smallpox survival is 51%. For vaccinated individuals, the probability of smallpox survival is 40%. For vaccinated individuals, would it be more likely to see smallpox survival if the person had been vaccinated?",yes
90,We know that confounder active or assignment of drug treatment causes taking of all assigned drugs. confounder active or taking of all assigned drugs causes low cholesterol. We observed the patient is not assigned the drug treatment and confounder active. Would the patient has low cholesterol if not taking of any assigned drugs instead of taking of all assigned drugs?,yes
91,"For campers who do not light a match, the probability of the forest on fire is 75%. For campers who light a match, the probability of the forest on fire is 59%. Will the camper lighting a match increase the chance of the forest on fire?",no
92,We know that large kidney stone causes receives treatment. large kidney stone and receives treatment causes recovery. We observed the patient has a large kidney stone. Would the patient does recover if receives treatment instead of receives no treatment?,yes
93,The overall probability of college degree or higher is 92%. The probability of high school degree or lower and high salary is 2%. The probability of college degree or higher and high salary is 52%. Is the chance of high salary larger when observing college degree or higher?,yes
94,"Method 1: We look directly at how maternal smoking status correlates with infant's birth weight in general. Method 2: We look at this correlation case by case according to unobserved confounders. To understand how maternal smoking status affects infant's birth weight, is it more correct to use the Method 1 than Method 2?",no
95,We know that blowing out the candle and candle with wax causes dark room. We observed the candle is out of wax. Would the room is dark if not blowing out the candle instead of blowing out the candle?,no
96,The overall probability of college degree or higher is 80%. The probability of high school degree or lower and high salary is 14%. The probability of college degree or higher and high salary is 28%. Is the chance of high salary smaller when observing college degree or higher?,yes
97,We know that smoking mother or good health causes normal infant birth weight. smoking mother and good health and normal infant birth weight causes high infant mortality. We observed the person has poor health. Would infant mortality is high if nonsmoking mother instead of smoking mother?,no
98,"For infants with nonsmoking mothers, the probability of high infant mortality is 62%. For infants with smoking mothers, the probability of high infant mortality is 74%. For infants with smoking mothers, would it be more likely to see high infant mortality if the infant had a nonsmoking mother?",no
99,"Method 1: We look at how vaccination status correlates with smallpox survival case by case according to vaccination reaction. Method 2: We look directly at how vaccination status correlates with smallpox survival in general. To understand how vaccination status affects smallpox survival, is it more correct to use the Method 1 than Method 2?",no
